Date,Chrome,IE,Firefox,Safari,Edge,Other,leap_year
2009-01,1.37,64.97,26.85,2.79,,4.03,0
2009-02,1.5,63.98,27.66,2.83,,4.03,0
2009-03,1.71,62.02,29.17,3.02,,4.08,0
2009-04,2.05,61.34,29.41,3.09,,4.11,0
2009-05,2.4,61.55,28.5,2.95,,4.61,0
2009-06,2.79,58.93,30.05,3.24,,4.97,0
2009-07,2.98,59.48,30.18,3.35,,4.01,0
2009-08,3.34,58.04,30.93,3.59,,4.1,0
2009-09,3.65,57.72,30.99,3.59,,4.06,0
2009-10,4.12,57.3,31.45,3.77,,3.36,0
2009-11,4.61,55.89,31.82,4,,3.67,0
2009-12,5.38,55.01,31.56,3.85,,4.19,0
2010-01,5.94,54.39,31.15,4.22,,4.29,0
2010-02,6.6,53.56,31.28,4.59,,3.96,0
2010-03,7.15,53.37,30.65,4.67,,4.15,0
2010-04,7.89,52.1,31.05,4.77,,4.19,0
2010-05,8.41,51.54,30.91,4.72,,4.43,0
2010-06,9,51.5,30.35,4.65,,4.52,0
2010-07,9.6,51.17,29.81,4.71,,4.71,0
2010-08,10.41,49.69,30.09,4.92,,4.88,0
2010-09,11.14,48.13,30.39,5.06,,5.28,0
2010-10,11.92,47.33,30.05,5.23,,5.47,0
2010-11,12.81,46.22,29.92,5.39,,5.68,0
2010-12,14.24,45.02,29.5,5.56,,5.68,0
2011-01,15.01,44.03,29.36,5.94,,5.67,0
2011-02,15.81,43.42,29.02,5.94,,5.82,0
2011-03,16.55,42.99,28.57,5.93,,5.97,0
2011-04,17.33,42.2,28.13,5.99,,6.32,0
2011-05,18.25,41.35,27.61,5.98,,6.8,0
2011-06,19.3,40.74,26.49,6.05,,7.41,0
2011-07,20.59,39.47,25.99,6.2,,7.74,0
2011-08,21.51,38.9,25.53,6.2,,7.85,0
2011-09,22.02,38.85,24.98,6.65,,7.49,0
2011-10,23.36,37.55,24.66,7.07,,7.37,0
2011-11,23.9,37.8,23.49,7.18,,7.63,0
2011-12,25.08,35.54,23.25,7.41,,8.74,0
2012-01,25.99,34.27,22.69,8.09,,8.94,1
2012-02,27.3,32.7,22.77,8.35,,8.87,1
2012-03,28.1,31.68,22.75,8.26,,9.2,1
2012-04,28.24,30.8,22.5,8.72,,9.73,1
2012-05,29.15,28.87,22.98,8.68,,10.31,1
2012-06,29.36,28.95,22.02,8.82,,10.82,1
2012-07,30.13,28.49,21.13,9.11,,11.15,1
2012-08,29.82,29.1,20.3,9.3,,11.48,1
2012-09,30.28,28.89,19.85,9.54,,11.44,1
2012-10,30.69,28.26,19.73,9.69,,11.62,1
2012-11,31.28,27.28,19.61,9.83,,11.98,1
2012-12,31.42,26.47,18.88,10.07,,13.16,1
2013-01,31.71,26.55,18.55,10.66,,12.53,0
2013-02,32.2,25.74,18.45,11.14,,12.48,0
2013-03,33.11,25.26,18.04,11.06,,12.53,0
2013-04,34.25,25.76,17.43,10.44,,12.12,0
2013-05,35.99,23.85,17.05,10.44,,12.67,0
2013-06,36.64,21.54,17,10.93,,13.89,0
2013-07,36.63,20.49,16.84,11.23,,14.83,0
2013-08,36.19,21.18,16.02,11.09,,15.52,0
2013-09,34.66,23.71,15.31,10.9,,15.42,0
2013-10,33.75,23.53,14.78,10.76,,17.18,0
2013-11,35.09,22.1,14.77,10.97,,17.06,0
2013-12,35.82,18.09,14.83,11.77,,19.49,0
2014-01,35.85,17.75,14.77,12.63,,18.99,0
2014-02,36.44,17.34,14.86,12.56,,18.83,0
2014-03,36.47,17.19,14.35,12.96,,19.01,0
2014-04,38.26,16.39,14.33,12.72,,18.3,0
2014-05,38.68,15.51,14.07,13.14,,18.58,0
2014-06,38.53,15.4,13.28,13.78,,19,0
2014-07,38.75,15.51,12.82,14.29,,18.61,0
2014-08,39.53,14.52,12.63,14.19,,19.14,0
2014-09,39.39,14.46,12.45,14.9,,18.81,0
2014-10,41.53,13.39,11.96,15.3,,17.82,0
2014-11,42.24,13.42,11.59,14.25,,18.46,0
2014-12,40.93,15.21,11.27,14.2,,18.4,0
2015-01,42.27,13.3,11.82,13.79,,18.82,0
2015-02,43.16,13.09,11.56,13.8,,18.4,0
2015-03,43.61,12.36,11.74,13.8,,18.5,0
2015-04,44.31,12.52,11.61,12.91,,18.67,0
2015-05,43.97,12.31,11.14,13.47,,19.15,0
2015-06,43.95,12.18,10.72,13.39,,19.74,0
2015-07,45.09,10.81,9.99,13.2,0.03,20.88,0
2015-08,45.26,9.73,9.63,12.53,0.46,22.34,0
2015-09,45.83,9.62,9.83,12.1,0.6,21.98,0
2015-10,46.7,9.38,9.52,11.96,0.67,21.79,0
2015-11,47.85,9.65,9.22,12.59,0.76,19.91,0
2015-12,47.14,9.33,8.83,13.01,0.92,20.8,0
2016-01,47.79,8.94,8.97,12.9,1.05,20.33,1
2016-02,47.77,8.17,9,12.87,1.14,21.04,1
2016-03,47.24,7.44,8.54,12.73,1.21,22.82,1
2016-04,47.43,7.13,8.4,12.78,1.28,22.99,1
2016-05,47.16,6.43,8.25,13.02,1.34,23.78,1
2016-06,49.72,6.26,8.31,13.51,1.54,20.64,1
2016-07,49.45,5.4,7.77,13.66,1.6,22.14,1
2016-08,49.82,5.45,7.78,13.61,1.66,21.69,1
2016-09,49.93,5.42,7.57,13.34,1.6,22.13,1
2016-10,50.59,4.76,7.14,13.7,1.58,22.21,1
2016-11,51.42,4.54,7.02,13.78,1.59,21.63,1
2016-12,51.06,4.44,6.72,14.02,1.61,22.16,1
2017-01,51.76,4.77,6.75,14.54,1.72,20.47,0
2017-02,52.39,4.37,6.73,14.4,1.77,20.33,0
2017-03,52.81,4.18,6.67,14.44,1.71,20.19,0
2017-04,53.69,3.91,6.31,14.64,1.71,19.78,0
2017-05,54.14,4.03,6.21,14.26,1.73,19.63,0
2017-06,53.92,3.93,5.93,14.39,1.75,20.08,0
2017-07,54.3,3.74,5.73,14.15,1.74,20.34,0
2017-08,54.89,3.69,5.9,14.88,1.8,18.83,0
2017-09,55.68,3.56,5.96,14.22,2.17,18.43,0
2017-10,54.57,3.74,6.08,14.59,2.22,18.8,0
2017-11,55,3.88,6.1,14.76,2.06,18.23,0
2017-12,55.04,3.35,5.72,14.86,1.9,19.13,0
2018-01,56.31,3.2,5.66,14.44,1.89,18.5,0
2018-02,57.46,3.06,5.5,14.39,1.86,17.71,0
2018-03,57.64,3.11,5.38,14.81,1.93,17.11,0
2018-04,57.36,3.21,5.45,13.96,1.98,18.04,0
2018-05,58.09,3.08,5.27,13.78,1.91,17.88,0
2018-06,58.94,3.12,5.17,13.7,1.89,17.19,0
2018-07,59.69,3.01,5.02,13.85,1.88,16.53,0
2018-08,59.67,3.03,4.93,14.51,1.9,15.93,0
2018-09,60.6,2.85,5.01,14.85,1.99,14.68,0
2018-10,61.55,2.88,5.02,15.13,2.08,13.34,0
2018-11,61.77,2.81,4.92,15.09,2.15,13.25,0
2018-12,62.28,2.55,4.93,14.69,2.03,13.52,0
2019-01,61.72,2.7,4.66,15.23,2.13,13.55,0
2019-02,62.41,2.58,4.39,15.56,2.16,12.88,0
2019-03,62.58,2.56,4.7,15.64,2.21,12.3,0
2019-04,62.8,2.47,4.86,15.83,2.16,11.84,0
2019-05,62.98,2.46,5.01,15.74,2.15,11.64,0
2019-06,63.69,2.29,4.64,15.15,2.14,12.08,0
2019-07,63.37,2.26,4.49,15.05,2.18,12.66,0
2019-08,63.99,1.97,4.44,15.48,2.16,11.95,0
2019-09,63.72,2.23,4.45,16.34,2.15,11.12,0
2019-10,64.92,1.98,4.33,15.97,2.05,10.75,0
2019-11,64.26,1.66,4.47,16.74,2.11,10.77,0
2019-12,63.62,1.57,4.39,17.68,2.06,10.68,0
2020-01,64.1,1.68,4.7,17.21,2.18,10.13,1
2020-02,64.45,1.63,4.58,17.57,2.32,9.44,1
2020-03,63.69,1.71,4.42,18.35,2.44,9.39,1
2020-04,62.48,1.41,4.21,19.94,2.67,9.28,1
2020-05,63.93,1.4,4.38,18.19,2.71,9.37,1
2020-06,65.47,1.36,4.25,16.97,2.81,9.14,1
2020-07,65.89,1.28,4.26,16.65,2.89,9.04,1
2020-08,65.99,1.2,4.09,16.82,2.98,8.9,1
2020-09,66.34,1.19,4.09,16.73,3.13,8.52,1
2020-10,66.12,1.05,3.98,17.24,3.31,8.28,1
2020-11,63.54,1.13,3.79,19.24,3.41,8.88,1
2020-12,63.38,1.05,3.77,19.25,3.41,9.13,1
2021-01,63.54,0.81,3.64,19.45,3.55,9,0
2021-02,63.59,0.81,3.76,19.14,3.72,8.98,0
2021-03,64.19,0.73,3.68,19.03,3.74,8.6,0
2021-04,64.47,0.71,3.59,18.68,3.64,8.88,0
2021-05,64.75,0.62,3.36,18.43,3.62,9.21,0
2021-06,65.27,0.61,3.29,18.34,3.63,8.86,0
2021-07,65.12,0.57,3.45,18.65,3.61,8.59,0
2021-08,64.94,0.58,3.55,18.75,3.79,8.38,0
2021-09,65.15,0.57,3.67,18.4,3.97,8.23,0
2021-10,64.67,0.5,3.66,19.06,4.1,8,0
2021-11,64.06,0.49,3.91,19.22,4.3,7.97,0
2021-12,63.8,0.46,3.91,19.6,4.08,8.14,0
2022-01,63.06,0.45,4.18,19.84,4.2,8.26,0
2022-02,62.78,0.47,4.21,19.3,4.21,9.02,0
2022-03,64.53,0.38,3.4,18.84,4.18,8.68,0
2022-04,64.34,0.39,3.41,19.16,4.21,8.49,0
2022-05,64.95,0.64,3.26,19.01,4.22,7.89,0
2022-06,65.87,0.29,3.26,18.61,4.19,7.77,0
2022-07,65.12,0.28,3.29,18.86,4.16,8.28,0
2022-08,65.52,0.31,3.16,18.78,4.35,7.87,0
2022-09,65.68,0.33,3.15,18.68,4.39,7.77,0
2022-10,65.27,0.32,3.07,19.03,4.45,7.85,0
2022-11,65.86,0.3,3.04,18.67,4.5,7.62,0
2022-12,64.68,0.28,3.01,18.29,4.28,9.46,0
2023-01,65.43,0.25,3,18.69,4.51,8.11,0
2023-02,65.76,0.25,2.93,18.84,4.32,7.9,0
2023-03,64.76,0.26,2.93,19.52,4.68,7.84,0
2023-04,63.45,0.24,2.76,20.48,5.01,8.06,0
2023-05,62.87,0.21,2.77,20.7,5.36,8.07,0
2023-06,62.58,0.19,2.81,20.47,5.31,8.63,0
2023-07,63.55,0.18,2.79,19.95,5.18,8.34,0
2023-08,63.56,0.17,2.95,19.84,5.48,7.98,0
2023-09,63.45,0.17,3.03,19.91,5.34,8.1,0
2023-10,63.15,0.17,3.07,19.88,5.52,8.24,0